TID,VAR,TRP,VAL
80498411,TC,RS,0
80612411,TC,R,1
80612411,TC,RG,1
80612411,TC,RM,1
80612411,TC,RS,1
80654911,TC,R,1
80654911,TC,RG,1
80654911,TC,RM,1
80654911,TC,RS,1
80696111,TC,R,0
80696111,TC,RG,0
80696111,TC,RM,0
80696111,TC,RS,0
80701611,TC,R,0
80701611,TC,RG,0
80701611,TC,RM,0
80701611,TC,RS,0
80013111,TC,R,0
80013111,TC,RG,0
80013111,TC,RM,0
80013111,TC,RS,0
80214211,TC,R,1
80214211,TC,RG,1
80214211,TC,RM,1
80214211,TC,RS,1
80449811,TC,R,1
80449811,TC,RG,1
80449811,TC,RM,1
80449811,TC,RS,1
80133111,TC,R,0
80133111,TC,RG,0
80133111,TC,RM,0
80133111,TC,RS,0
80229211,TC,R,0
80229211,TC,RG,0
80229211,TC,RM,0
80229211,TC,RS,0
80096311,TC,R,0
80096311,TC,RG,0
80096311,TC,RM,0
80096311,TC,RS,0
80139311,TC,R,1
80139311,TC,RG,1
80139311,TC,RM,1
80139311,TC,RS,1
80398511,TC,R,0
80398511,TC,RG,0
80398511,TC,RM,0
80398511,TC,RS,0
80399411,TC,R,1
80399411,TC,RG,1
80399411,TC,RM,1
80399411,TC,RS,1
80417211,TC,R,1
80417211,TC,RG,1
80417211,TC,RM,1
80417211,TC,RS,1
80453511,TC,R,1
80453511,TC,RG,1
80453511,TC,RM,1
80453511,TC,RS,1
80116311,TC,R,0
80116311,TC,RG,0
80116311,TC,RM,0
80116311,TC,RS,0
80764411,TC,R,1
80764411,TC,RG,1
80764411,TC,RM,1
80764411,TC,RS,1
80096511,TC,R,1
80096511,TC,RG,1
80096511,TC,RM,1
80096511,TC,RS,1
80597511,TC,R,0
80597511,TC,RG,0
80597511,TC,RM,0
80597511,TC,RS,0
80397911,TC,R,0
80397911,TC,RG,0
80397911,TC,RM,0
80397911,TC,RS,0
80187411,TC,R,0
80187411,TC,RG,0
80187411,TC,RM,0
80187411,TC,RS,0
80170811,TC,R,1
80170811,TC,RG,1
80170811,TC,RM,1
80170811,TC,RS,1
80177411,TC,R,1
80177411,TC,RG,1
80177411,TC,RM,1
80177411,TC,RS,1
80211811,TC,R,0
80211811,TC,RG,0
80211811,TC,RM,0
80211811,TC,RS,0
80307611,TC,R,0
80307611,TC,RG,0
80307611,TC,RM,0
80307611,TC,RS,0
80318411,TC,R,0
80318411,TC,RG,0
80318411,TC,RM,0
80318411,TC,RS,0
80098911,TC,R,1
80098911,TC,RG,1
80098911,TC,RM,1
80098911,TC,RS,1
80521311,TC,R,1
80521311,TC,RG,1
80521311,TC,RM,1
80521311,TC,RS,1
80526311,TC,R,1
80526311,TC,RG,1
80526311,TC,RM,1
80526311,TC,RS,1
80538511,TC,R,1
80538511,TC,RG,1
80538511,TC,RM,1
80538511,TC,RS,1
80590211,TC,R,0
80590211,TC,RG,0
80590211,TC,RM,0
80590211,TC,RS,0
80396311,TC,R,0
80396311,TC,RG,0
80396311,TC,RM,0
80396311,TC,RS,0
80335411,TC,R,0
80335411,TC,RG,0
80335411,TC,RM,0
80335411,TC,RS,0
80520411,TC,R,1
80520411,TC,RG,1
80520411,TC,RM,1
80520411,TC,RS,1
80369011,TC,R,0
80369011,TC,RG,0
80369011,TC,RM,0
80369011,TC,RS,0
80558211,TC,R,1
80558211,TC,RG,1
80558211,TC,RM,1
80558211,TC,RS,1
80481111,TC,R,1
80481111,TC,RG,1
80481111,TC,RM,1
80481111,TC,RS,1
80547511,TC,R,1
80547511,TC,RG,1
80547511,TC,RM,1
80547511,TC,RS,1
80350511,TC,R,0
80350511,TC,RG,0
80350511,TC,RM,0
80350511,TC,RS,0
80437711,TC,R,0
80437711,TC,RG,0
80437711,TC,RM,0
80437711,TC,RS,0
80534011,TC,R,0
80534011,TC,RG,0
80534011,TC,RM,0
80534011,TC,RS,0
80546711,TC,R,0
80546711,TC,RG,0
80546711,TC,RM,0
80546711,TC,RS,0
80421811,TC,R,1
80421811,TC,RG,1
80421811,TC,RM,1
80421811,TC,RS,1
80421911,TC,R,1
80421911,TC,RG,1
80421911,TC,RM,1
80421911,TC,RS,1
80458511,TC,R,1
80458511,TC,RG,1
80458511,TC,RM,1
80458511,TC,RS,1
80499611,TC,R,0
80499611,TC,RG,0
